ID	Replicate	Batch	Barcode	Treatment
S163	R1	200423	W609	HEK293T-Qiagen_MIXE_30x
S164	R1	200423	W621	HEK293T-Norgen_MIXE_30x
S165	R1	200423	W633	LTRI-20_MIXE_30x
S166	R1	200423	W645	LTRI-13_MIXE_30x
S167	R1	200423	W657	LTRI-35_MIXE_30x
S168	R1	200423	W669	LTRI-36_MIXE_30x
S169	R1	200423	W586	LTRI-32_MIXE_30x
S170	R1	200423	W598	LTRI-28_MIXE_30x
S171	R1	200423	W610	LTRI-27_MIXE_30x
S172	R1	200423	W622	LTRI-33_MIXE_30x
S173	R1	200423	W634	LTRI-21_MIXE_30x
S174	R1	200423	W646	LTRI-22_MIXE_30x
S175	R1	200423	W658	LTRI-34_MIXE_30x
S176	R1	200423	W670	LTRI-24_MIXE_30x
S177	R1	200423	W587	LTRI-26_MIXE_30x
S178	R1	200423	W599	LTRI-29_MIXE_30x
S179	R1	200423	W611	LTRI-30_MIXE_30x
S180	R1	200423	W623	LTRI-23_MIXE_30x
S181	R1	200423	W635	LTRI-31_MIXE_30x
S182	R1	200423	W647	LTRI-25_MIXE_30x
S183	R1	200423	W659	LTRI-18_MIXE_30x
S184	R1	200423	W671	Twist2:50000_MIXE_30x
S185	R1	200423	W588	Twist2:5000_MIXE_30x
S186	R1	200423	W600	Twist2:500_MIXE_30x
S187	R1	200423	W612	Twist2:50_MIXE_30x
S188	R1	200423	W624	Twist2:5_MIXE_30x
