junction	distEvent	distAll
004.PPIB_rv1_C2C1	NA	52
006.Ngene_rv1_C2C1	NA	52
008.Egene_rv1_C2C1	NA	49
010.RdRP_rv1_C2C1	NA	52
013.Sgene.RBD_rv1_C2C1	NA	49
014.Sgene.Poly_rv1_C2C1	NA	52
019.ACTB_rv1_C2C1	NA	52
